userid,score,City,Gender,Age,Objects,Balance,Products,estimated_salary
15774247,808,Ярославль,М,45,7,118626.55,2,147132.46
15851984,524,Ярославль,Ж,36,10,,2,109614.57
15683371,769,Ярославль,М,29,8,,2,172290.61
15719702,730,Рыбинск,М,42,4,,2,85982.47
15742197,515,Рыбинск,М,35,10,176273.95,1,121277.78
15781457,773,Рыбинск,М,41,9,102827.44,1,64595.25
15736419,814,Ростов Великий,М,29,8,97086.4,2,197276.13
15647084,710,Рыбинск,М,22,8,,2,99645.04
15675795,413,Ярославль,М,34,9,,2,6534.18
15851318,665,Ярославль,Ж,40,6,,1,161848.03
15785928,623,Ярославль,Ж,44,6,,2,167162.43
15622882,738,Ярославль,М,31,9,82674.15,1,41970.72
15819341,528,Рыбинск,М,36,7,,2,60536.56
15847655,670,Рыбинск,Ж,65,1,,1,177655.68
15656590,622,Рыбинск,Ж,46,4,107073.27,2,30984.59
15641931,582,Ростов Великий,М,32,1,88938.62,1,10054.53
15855614,785,Ростов Великий,Ж,36,2,99806.85,1,36976.52
15645048,605,Рыбинск,М,33,5,150092.8,1,71862.79
15787425,479,Ростов Великий,М,35,9,92833.89,1,99449.86
15846262,685,Ростов Великий,М,30,3,90536.81,1,63082.88
15708526,538,Ростов Великий,М,39,7,108055.1,2,27231.26
15758687,562,Ярославль,М,42,2,100238.35,1,86797.41
15633836,675,Рыбинск,М,36,9,106190.55,1,22994.32
15652354,721,Ростов Великий,М,28,9,154475.54,2,101300.94
15718258,628,Ростов Великий,Ж,30,9,132351.29,2,74169.13
15748248,668,Ростов Великий,Ж,37,6,167864.4,1,115638.29
15740764,506,Ярославль,Ж,41,1,,2,31766.3
15704406,524,Ростов Великий,Ж,31,8,107818.63,1,199725.39
15643517,699,Ростов Великий,М,34,4,185173.81,2,120834.48
15725208,828,Ярославль,М,34,8,129433.34,2,38131.77
15622939,674,Рыбинск,М,39,6,120193.42,1,100130.95
15733409,656,Ярославль,Ж,39,6,,2,141069.88
15802821,684,Ростов Великий,Ж,48,10,126384.42,1,198129.36
15822395,625,Ярославль,Ж,28,3,,1,183646.41
15670096,432,Ярославль,М,42,9,152603.45,1,110265.24
15713873,549,Ярославль,Ж,52,1,,1,8636.05
15825424,625,Ростов Великий,М,56,0,148507.24,1,46824.08
15618228,828,Ярославль,Ж,41,7,,2,171378.77
15634343,770,Ярославль,М,24,9,101827.07,1,167256.35
15783140,758,Ярославль,Ж,34,3,,2,124226.16
15761105,795,Ростов Великий,Ж,33,9,130862.43,1,114935.21
15720607,687,Ярославль,М,38,9,122570.87,1,35608.88
15684740,686,Ярославль,М,25,1,,2,16459.37
15755279,789,Ростов Великий,М,39,7,124828.46,2,124411.08
15627254,589,Ростов Великий,Ж,50,5,144895.05,2,34941.23
15845117,461,Ростов Великий,Ж,34,5,63663.93,1,167784.28
15652892,637,Ярославль,М,40,2,133463.1,1,93165.34
15637144,584,Рыбинск,Ж,48,2,213146.2,1,75161.25
15683641,579,Рыбинск,Ж,35,1,129490.36,2,8590.83
15741668,756,Ростов Великий,М,44,10,137452.09,1,189543.9
15767680,663,Ярославль,М,34,7,,2,180427.24
15670881,682,Ярославль,Ж,43,5,125851.93,1,193318.33
15756219,793,Рыбинск,М,52,2,,1,159123.82
15655086,691,Ярославль,Ж,31,5,40915.55,1,126213.84
15843439,485,Рыбинск,Ж,21,5,113157.22,1,54141.5
15748443,635,Рыбинск,Ж,29,8,138296.94,2,141075.51
15796841,650,Ярославль,М,37,5,106967.18,1,24495.03
15746000,735,Ярославль,М,44,9,120681.63,1,74836.34
15837149,416,Ярославль,М,32,0,,2,878.87
15692973,754,Рыбинск,Ж,32,7,,2,89520.75
15802354,535,Ярославль,Ж,48,9,,1,149892.79
15854325,716,Рыбинск,М,42,8,,2,180800.42
15731780,539,Ярославль,М,37,2,127609.59,1,98646.22
15752104,614,Ярославль,Ж,43,6,,2,109041.53
15721881,706,Рыбинск,М,57,7,,1,17941.16
15697743,758,Ярославль,Ж,33,7,,2,82996.47
15666331,586,Рыбинск,Ж,28,2,,2,92067.35
15632711,646,Ярославль,Ж,73,6,97259.25,1,104719.66
15846753,631,Ростов Великий,Ж,33,4,123246.7,1,112687.57
15734868,717,Рыбинск,Ж,22,6,101060.25,1,84699.56
15683858,684,Ярославль,М,30,2,,2,83473.82
15673646,800,Ярославль,Ж,49,7,108007.36,1,47125.11
15723508,721,Рыбинск,Ж,36,2,,2,106977.8
15701665,683,Рыбинск,М,29,0,133702.89,1,55582.54
15628124,660,Ростов Великий,М,31,9,125189.75,2,139874.43
15767359,704,Ростов Великий,Ж,24,7,113034.22,1,162503.48
15631273,615,Рыбинск,Ж,41,9,109013.23,1,196499.96
15617428,667,Рыбинск,Ж,39,2,,2,40721.24
15654061,682,Ростов Великий,М,24,9,57929.81,2,53134.3
15630298,484,Ярославль,Ж,29,4,130114.39,1,164017.89
15655908,628,Ростов Великий,М,27,5,95826.49,2,155996.96
15693758,480,Ростов Великий,М,44,10,129608.57,1,5472.7
15629046,578,Ярославль,М,30,4,169462.09,1,112187.11
15668260,512,Ярославль,М,40,5,,2,146457.83
15797945,484,Рыбинск,Ж,35,7,133868.21,1,27286.1
15687984,510,Ярославль,Ж,30,0,,2,130553.47
15833091,606,Ростов Великий,М,36,5,190479.48,2,179351.89
15805351,597,Рыбинск,Ж,40,8,101993.12,1,94774.12
15668162,754,Ростов Великий,Ж,55,3,161608.81,1,8080.85
15759070,850,Рыбинск,Ж,45,2,122311.21,1,19482.5
15832405,510,Ярославль,М,65,2,,2,48071.61
15663811,778,Ростов Великий,Ж,45,1,162150.42,2,174531.27
15853581,636,Ярославль,М,42,2,,2,55470.78
15762113,804,Ярославль,Ж,50,4,,1,8546.87
15697242,514,Ярославль,М,32,8,,2,95857.18
15814713,730,Ярославль,Ж,39,1,99010.67,1,194945.8
15751446,525,Рыбинск,Ж,37,0,,1,131521.72
15769412,616,Рыбинск,М,30,5,,2,196108.51
15630157,687,Ростов Великий,Ж,34,7,111388.18,2,148564.76
15769667,715,Ярославль,Ж,41,8,56214.85,2,92982.61
15813822,512,Ярославль,Ж,36,3,84327.77,2,17675.36
15799586,479,Ярославль,М,40,1,,2,114996.43
15745477,601,Ярославль,М,32,8,93012.89,1,86957.42
15721936,580,Рыбинск,М,29,9,61710.44,2,128077.8
15637551,807,Ярославль,М,35,3,174790.15,1,600.36
15678641,616,Рыбинск,Ж,32,6,,2,43001.46
15820628,721,Ростов Великий,М,37,3,107720.64,1,158591.12
15698912,501,Ярославль,М,57,10,,2,47847.19
15853863,521,Ярославль,М,35,6,96423.84,1,10488.44
15647218,850,Рыбинск,М,30,2,141040.01,1,5978.2
15665647,759,Ярославль,М,42,4,105420.18,1,121409.06
15643710,516,Рыбинск,М,50,5,,1,146145.93
15770604,711,Ярославль,Ж,38,2,129022.06,2,14374.86
15670537,512,Рыбинск,М,33,3,176666.62,1,94670.77
15815775,550,Ярославль,М,37,3,,1,179670.31
15797998,608,Рыбинск,Ж,41,3,89763.84,1,199304.74
15722267,618,Ярославль,М,34,5,134954.53,1,151954.39
15726917,643,Ярославль,М,45,5,,1,142513.5
15654823,671,Ярославль,М,45,2,106376.85,1,158264.62
15794783,689,Ростов Великий,М,33,2,161814.64,2,169381.9
15667328,603,Ярославль,М,31,8,,2,169915.02
15615888,620,Ярославль,Ж,41,9,,2,88852.47
15637653,676,Ярославль,Ж,34,1,63095.01,1,40645.81
15828278,572,Ростов Великий,М,26,4,118287.01,2,60427.3
15766224,668,Ростов Великий,М,47,7,106854.21,1,157959.02
15723656,695,Ярославль,М,46,7,49512.55,1,133007.34
15829044,730,Рыбинск,Ж,33,9,,2,176576.62
15702102,807,Ярославль,М,43,1,105799.32,2,34888.04
15817590,592,Ярославль,М,54,8,,1,28737.71
15768047,726,Ярославль,Ж,31,9,114722.05,2,98178.57
15829891,514,Рыбинск,М,30,7,,1,125010.24
15770565,567,Ярославль,М,42,2,,2,167984.61
15775983,850,Ярославль,М,33,10,,1,4861.72
15611484,671,Ростов Великий,М,45,6,99564.22,1,108872.45
15741765,670,Ярославль,М,37,4,170557.91,2,198252.88
15817129,694,Ярославль,Ж,30,9,,2,26960.31
15719631,547,Ростов Великий,Ж,39,6,74596.15,3,85746.52
15680489,751,Ростов Великий,М,50,2,96888.39,1,77206.25
15648197,594,Ростов Великий,Ж,29,3,130830.22,1,61048.53
15851209,673,Ярославль,М,72,1,,2,111981.19
15669736,610,Ярославль,М,40,0,,2,62232.6
15829910,512,Ярославль,Ж,37,1,,2,156105.03
15766622,767,Ростов Великий,М,20,3,119714.25,2,150135.38
15747505,585,Ярославль,Ж,67,5,113978.97,2,93146.11
15815632,763,Ростов Великий,М,42,6,100160.75,1,33462.94
15754276,712,Ярославль,Ж,29,2,,1,144375.0
15807602,539,Ростов Великий,Ж,43,3,116220.5,3,55803.96
15836792,668,Ярославль,Ж,46,2,,3,89048.46
15837885,703,Ярославль,М,28,2,81173.83,2,162812.16
15854745,662,Рыбинск,М,38,4,,2,136259.65
15693737,725,Ростов Великий,Ж,39,5,116803.8,1,124052.97
15856580,703,Ярославль,М,37,8,105961.68,2,74158.8
15638911,659,Ростов Великий,М,67,6,117411.6,1,45071.09
15619005,523,Рыбинск,М,34,7,,2,62030.06
15839955,635,Ярославль,Ж,40,10,123497.58,1,131953.23
15728236,772,Ростов Великий,М,26,7,152400.51,2,79414.0
15642528,545,Ярославль,Ж,26,1,,2,199638.56
15700302,634,Ростов Великий,М,24,8,103097.85,1,157577.29
15815159,739,Ростов Великий,М,54,8,126418.14,1,134420.75
15670848,771,Ростов Великий,Ж,36,5,77846.9,1,99805.99
15796490,587,Рыбинск,Ж,34,1,,2,97932.68
15836462,681,Ярославль,Ж,79,0,,2,170968.99
15737453,544,Ростов Великий,М,37,2,79731.91,1,57558.95
15708570,696,Рыбинск,М,28,8,,1,176713.47
15808033,766,Рыбинск,М,41,0,,2,34283.23
15679420,727,Ярославль,М,34,10,,2,198637.34
15635715,671,Ростов Великий,Ж,34,6,37266.67,2,156917.12
15793539,693,Ярославль,Ж,30,6,127992.25,1,50457.2
15649914,850,Ростов Великий,М,38,3,54901.01,1,140075.55
15756589,732,Ростов Великий,М,42,9,108748.08,2,65323.11
15716217,726,Рыбинск,Ж,48,6,99906.19,1,64323.24
15729512,557,Ярославль,Ж,32,6,184686.41,2,14956.44
15716429,682,Ярославль,Ж,26,0,110654.02,1,111879.21
15743432,738,Рыбинск,М,31,9,79019.8,1,18606.23
15855899,531,Рыбинск,Ж,36,9,99240.51,1,123137.01
15696593,498,Ярославль,М,34,2,,2,148528.24
15819812,651,Ярославль,М,36,7,,2,13898.31
15760134,549,Рыбинск,Ж,39,7,,1,81259.25
15841953,791,Ростов Великий,Ж,35,7,52436.2,1,161051.75
15829807,650,Рыбинск,М,41,9,,2,191599.67
15662691,733,Ростов Великий,М,34,3,100337.96,3,48559.19
15839241,811,Ростов Великий,Ж,34,1,149297.19,2,186339.74
15767902,707,Ярославль,М,30,8,,2,33159.37
15842852,712,Ростов Великий,М,28,4,145605.44,1,93883.53
15801421,706,Рыбинск,Ж,37,7,,2,110899.3
15737192,756,Ярославль,М,62,3,,1,11199.04
15810075,777,Ярославль,Ж,53,10,,2,189992.97
15726298,646,Ярославль,М,35,6,84026.86,1,164255.69
15824946,714,Ярославль,М,46,1,,1,152167.79
15711629,782,Ярославль,М,39,8,,2,33949.67
15711905,775,Рыбинск,М,29,10,,2,68143.93
15685760,479,Ростов Великий,М,35,4,138718.92,1,47251.79
15742125,807,Ярославль,М,42,7,118274.71,1,25885.72
15751344,799,Ярославль,Ж,22,8,174185.98,2,192633.85
15668880,675,Ярославль,М,40,7,113208.86,2,34577.36
15615848,602,Рыбинск,М,29,5,103907.28,1,161229.84
15833414,475,Ярославль,Ж,32,8,119023.28,1,100816.29
15770292,744,Рыбинск,Ж,26,5,166297.89,1,181694.44
15740043,588,Рыбинск,М,34,10,,2,79078.91
15695002,703,Ростов Великий,М,42,9,63227.0,1,137316.32
15649834,747,Рыбинск,Ж,41,5,94521.17,2,194926.86
15698510,583,Ярославль,М,27,7,,2,51285.49
15632977,750,Рыбинск,Ж,34,9,112822.26,1,150401.53
15828555,681,Ярославль,М,38,3,,2,112491.96
15766390,773,Ярославль,М,25,2,135903.33,1,73656.38
15817246,714,Ярославль,Ж,31,4,125169.26,1,106636.89
15726909,687,Рыбинск,Ж,44,7,,3,155853.52
15692804,511,Ярославль,М,58,0,149117.31,1,162599.51
15854226,627,Ярославль,М,33,5,,2,103737.82
15846712,694,Ярославль,Ж,31,10,,2,160990.27
15725277,616,Рыбинск,Ж,36,6,132311.71,1,15462.84
15738435,687,Ярославль,М,35,8,,2,10334.05
15666924,712,Ярославль,Ж,33,6,,2,190686.16
15854927,553,Ярославль,М,33,4,118082.89,1,94440.45
15679409,667,Ярославль,М,31,1,119266.69,1,28257.63
15637634,731,Ярославль,М,43,2,,1,170034.95
15702947,629,Ростов Великий,М,35,7,156847.29,2,31824.29
15816708,614,Ярославль,М,50,4,137104.47,1,127166.49
15789462,438,Ростов Великий,М,31,8,78398.69,1,44937.01
15755023,652,Ярославль,Ж,80,4,,2,188603.07
15745655,729,Ростов Великий,М,30,6,63669.42,1,145111.37
15717134,642,Ярославль,М,38,3,,2,171463.83
15840696,806,Ростов Великий,Ж,59,0,135296.33,1,182822.5
15674604,744,Рыбинск,М,36,2,153804.44,1,87213.33
15624275,474,Рыбинск,М,37,3,,2,57175.32
15705472,559,Ярославль,М,49,2,147069.78,1,120540.83
15708988,706,Рыбинск,М,42,9,,2,28714.34
15720248,628,Рыбинск,Ж,22,3,,1,85426.28
15668850,429,Ярославль,М,24,4,95741.75,1,46170.75
15853570,525,Рыбинск,Ж,57,2,145965.33,1,64448.36
15721646,680,Ярославль,Ж,30,8,141441.75,1,16278.97
15737144,749,Ярославль,М,40,1,139290.41,1,182855.42
15627951,763,Ярославль,Ж,31,4,,2,50404.72
15725493,734,Ярославль,М,30,3,,2,107640.25
15779337,716,Ярославль,М,35,4,144428.87,1,134132.65
15644584,594,Ярославль,М,35,2,,2,103480.69
15778744,644,Ярославль,Ж,46,9,95441.27,1,108761.05
15711800,671,Ростов Великий,М,35,1,144848.74,1,179012.3
15667264,664,Ростов Великий,М,26,7,116244.14,2,95145.14
15641229,656,Ярославль,М,50,7,,2,72143.44
15644010,667,Рыбинск,Ж,40,1,146502.07,1,19162.89
15745405,663,Ростов Великий,М,44,2,117028.6,2,144680.18
15771405,584,Ростов Великий,Ж,30,8,112013.81,1,177772.03
15785404,626,Рыбинск,Ж,37,6,108269.37,1,5597.94
15740177,485,Ярославль,М,29,7,182123.79,1,116828.51
15783212,659,Ростов Великий,Ж,32,3,150923.74,2,174652.51
15690800,649,Ярославль,М,33,2,,2,2010.98
15679360,805,Рыбинск,Ж,39,5,165272.13,1,14109.85
15850659,716,Ростов Великий,Ж,39,10,115301.31,1,43527.4
15788580,642,Ростов Великий,Ж,40,6,129502.49,2,86099.23
15828906,659,Ярославль,М,31,4,118342.26,1,161574.19
15723817,545,Рыбинск,Ж,47,5,,2,38970.14
15727220,543,Ярославль,М,22,8,,2,127587.22
15828605,718,Ярославль,Ж,25,7,,2,30380.12
15806595,840,Ярославль,Ж,43,7,,2,90908.95
15701671,630,Ростов Великий,Ж,34,9,106937.05,2,138275.01
15790094,643,Ростов Великий,М,59,3,170331.37,1,32171.79
15777939,654,Ростов Великий,Ж,32,1,114510.85,1,126143.23
15618992,582,Ярославль,М,39,5,,2,129892.93
15702156,659,Рыбинск,М,32,3,107594.11,2,102416.84
15636101,762,Рыбинск,М,39,2,81273.13,1,18719.67
15820088,568,Рыбинск,Ж,32,7,169399.6,1,61936.22
15854743,670,Рыбинск,М,25,6,,2,78358.94
15668197,613,Ярославль,Ж,45,1,187841.99,2,147224.27
15782174,539,Ярославль,М,30,0,,2,160979.66
15654495,850,Рыбинск,Ж,57,8,126776.3,2,132298.49
15704365,522,Рыбинск,М,34,9,126436.29,1,174248.52
15676686,737,Ярославль,М,41,1,101960.74,1,123547.28
15635122,520,Ярославль,М,58,3,,2,32790.02
15846452,706,Рыбинск,М,28,3,,2,181543.67
15739410,643,Ростов Великий,Ж,45,2,150842.93,1,2319.96
15749101,648,Ярославль,Ж,50,9,102535.57,1,189543.19
15787824,443,Ростов Великий,Ж,29,9,99027.61,2,10940.4
15719451,640,Ярославль,М,68,9,,2,199493.38
15655821,628,Рыбинск,Ж,33,3,,1,188193.25
15676273,540,Ростов Великий,Ж,42,9,87271.41,2,172572.64
15637456,460,Ростов Великий,Ж,35,8,102742.91,2,189339.6
15726778,636,Ростов Великий,М,34,2,40105.51,2,53512.16
15626039,593,Ярославль,Ж,29,2,152265.43,1,34004.44
15654315,801,Рыбинск,М,42,4,141947.67,1,10598.29
15817432,640,Ростов Великий,Ж,75,1,106307.91,2,113428.77
15737242,611,Ростов Великий,М,31,0,107884.81,2,183487.98
15730810,802,Ростов Великий,М,31,1,125013.72,1,187658.09
15802273,717,Ростов Великий,М,35,7,58469.37,2,172459.39
15801185,769,Ярославль,Ж,39,8,,1,21016.0
15626192,745,Ростов Великий,М,45,10,117231.63,3,122381.02
15710607,572,Рыбинск,М,35,4,152390.26,1,128123.66
15720107,629,Рыбинск,Ж,30,2,34013.63,1,19570.63
15672413,687,Рыбинск,Ж,39,2,,3,188150.6
15756314,483,Ярославль,Ж,50,9,,2,111020.24
15634245,690,Ярославль,М,36,7,101583.11,2,123775.15
15610976,492,Ростов Великий,Ж,30,10,77168.87,2,146700.22
15665729,709,Ростов Великий,М,28,8,124695.72,2,145251.35
15732030,705,Ростов Великий,М,44,3,105934.96,1,82463.69
15763646,560,Ярославль,Ж,66,9,,1,15928.49
15763917,611,Рыбинск,М,46,6,,2,45886.33
15819169,730,Рыбинск,М,62,2,,2,186489.95
15791672,709,Рыбинск,Ж,45,2,,2,162922.65
15759961,544,Ярославль,Ж,21,10,161525.96,2,9262.77
15727962,712,Ростов Великий,Ж,29,7,147199.07,1,84932.4
15828347,752,Ростов Великий,М,38,3,183102.29,1,71557.12
15616192,648,Рыбинск,М,46,9,127209.0,2,77405.95
15727284,556,Рыбинск,М,38,8,,2,417.41
15663241,594,Рыбинск,Ж,24,0,97378.54,1,71405.17
15850168,645,Ростов Великий,Ж,37,2,136925.09,2,153400.24
15627502,557,Ярославль,М,33,3,54503.55,1,371.05
15654923,547,Ростов Великий,М,32,8,155726.85,1,67789.99
15804954,701,Ярославль,Ж,39,9,,2,145894.9
15689108,616,Ярославль,Ж,66,1,135842.41,1,183840.51
15733188,605,Ярославль,М,52,1,63349.75,1,108887.44
15790531,593,Ростов Великий,Ж,38,4,129499.42,1,154071.27
15824325,751,Рыбинск,М,52,8,,2,179291.85
15775410,443,Рыбинск,М,36,6,70438.01,2,56937.43
15685027,685,Ярославль,М,23,8,,2,112239.03
15735497,718,Ярославль,М,36,9,,1,45909.87
15620781,538,Рыбинск,Ж,49,9,141434.04,1,173779.25
15788090,611,Рыбинск,Ж,37,4,,2,125696.26
15744112,668,Ростов Великий,М,37,10,152958.29,2,159585.61
15734361,537,Ростов Великий,Ж,41,3,138306.34,1,106761.47
15609330,709,Рыбинск,М,23,10,,2,129590.18
15803167,850,Ярославль,М,38,1,,2,80006.65
15729038,745,Рыбинск,Ж,31,3,124328.84,1,140451.52
15844295,693,Ростов Великий,Ж,41,9,181461.48,3,187929.43
15853168,795,Рыбинск,М,35,8,,2,167155.36
15852352,626,Рыбинск,М,26,8,,2,191420.71
15763295,487,Ростов Великий,Ж,61,5,110368.03,1,11384.45
15738368,556,Ярославль,Ж,39,9,89588.35,1,94898.1
15702579,643,Ярославль,Ж,46,6,,2,106781.59
15658360,605,Ярославль,Ж,28,6,,2,159508.52
15853154,756,Ростов Великий,Ж,60,3,115924.89,1,93524.19
15758922,586,Ярославль,Ж,38,2,,2,87168.46
15717287,535,Ростов Великий,М,40,7,111756.5,1,8128.32
15665570,678,Ярославль,Ж,35,4,,1,125518.32
15608847,596,Ярославль,М,39,9,,1,48963.59
15827333,648,Ярославль,М,26,9,162923.85,1,98368.24
15695619,492,Ростов Великий,М,39,10,124576.65,2,148584.61
15849700,702,Ярославль,М,45,0,80793.58,1,27474.81
15619049,486,Ростов Великий,Ж,40,9,71340.09,1,76192.21
15849203,568,Ростов Великий,М,40,1,99282.63,1,134600.94
15640338,619,Ростов Великий,М,57,3,137946.39,1,72467.99
15785776,724,Ростов Великий,М,41,2,127892.57,2,199645.45
15748257,548,Ростов Великий,Ж,33,0,101084.36,1,42749.85
15637775,545,Ростов Великий,Ж,37,8,114754.08,1,136050.44
15842120,683,Ярославль,М,33,8,,1,73564.44
15623933,762,Ярославль,Ж,51,3,99286.98,1,85578.63
15736473,627,Ростов Великий,Ж,30,4,79871.02,2,129826.89
15667359,516,Ярославль,М,35,10,104088.59,2,119666.0
15826237,800,Ярославль,Ж,38,2,168190.33,2,68052.08
15732870,464,Ростов Великий,Ж,42,3,85679.25,1,164104.74
15825471,626,Ярославль,Ж,35,3,,1,80190.36
15653824,790,Ярославль,Ж,31,9,,2,84126.75
15714881,534,Ярославль,Ж,34,7,121551.58,2,70179.0
15775364,745,Ярославль,М,46,2,122220.19,1,118024.1
15830206,553,Рыбинск,М,47,3,116528.15,1,145704.19
15846142,748,Ярославль,Ж,26,1,77780.29,1,183049.41
15773196,722,Ярославль,М,37,2,,1,120906.83
15687308,501,Ярославль,М,40,4,125832.2,1,100433.83
15737596,675,Ярославль,Ж,38,6,68065.8,1,138777.0
15700905,778,Рыбинск,Ж,47,6,127299.34,2,124694.99
15837132,494,Ростов Великий,Ж,38,7,174937.64,1,40084.32
15828534,850,Ярославль,М,40,9,,2,119232.33
15753561,592,Рыбинск,М,31,7,110071.1,1,43921.36
15711180,590,Рыбинск,Ж,44,3,139432.37,1,62222.81
15769367,758,Ярославль,Ж,39,6,127357.76,1,56577.0
15776533,506,Ярославль,М,36,5,,2,164253.35
15790696,733,Ярославль,М,33,3,,1,7666.73
15677368,711,Ярославль,М,38,3,,2,68487.51
15750098,514,Ростов Великий,М,43,1,95556.31,1,199273.98
15705712,637,Рыбинск,М,37,8,,1,186062.36
